applicant_id,age,pays,secteur_activite,revenu_mensuel_xaf,anciennete_emploi,ratio_endettement,historique_credit,nb_credits_actifs,mobile_money_score,zone,date_demande,defaut_paiement,total_montant_xaf,avg_credit_xaf,total_retards,max_retard,nb_credit,nom_partenaire,type_partenaire,pays_partenaire,dernier_statut_credit,seuil_score_partenaire,volume_mensuel_partenaire,nb_credits_defaut_hist,nb_credits_rembourses_hist,nb_credits_restructures_hist,nb_credits_en_cours_hist,taux_defaut_historique,taux_remboursement_historique,jours_depuis_dernier_credit,nb_transaction_mois,volume_entrant,volume_sortant,regularite_score,operateur,anciennete_compte_mois,flag_primo_demandeur,flag_no_credit_history,flag_anciennete_emploi_missing,score_regularite_pondere,flux_sortant_sur_revenu,anciennete_credit_normalisee,indice_surendettement,revenu_par_credit_actif,anomaly_score,is_anomaly
FIN-1027-1732,39,CMR,Commerce,239600.0,37.0,0.149,,0,63.4,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,39.0,175700.0,89300.0,57.5,MTN,14.0,1,1,0,155.71288656337708,0.3727045075125209,,0.0,239600.0,-0.1380208965453642,0
FIN-1040-1590,66,TCD,Commerce,325400.0,1.0,0.267,719.0,1,12.8,Peri-urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,10.0,72500.0,42000.0,52.0,ORANGE,4.0,0,0,0,83.69077144657321,0.1290719114935464,,0.0,162700.0,-0.14163008980757974,0
FIN-1001-1612,37,RCA,Commerce,83700.0,95.0,0.535,,2,,Semi-urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,0.0,27900.0,-0.18211778553094154,0
FIN-1020-1560,51,GNQ,Agriculture,476600.0,3.0,0.284,387.0,3,45.4,Urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,8.0,128400.0,98800.0,64.6,MTN,24.0,0,0,0,207.93937828648572,0.2073017205203525,,0.0,119150.0,-0.15631523090937238,0
FIN-1020-1491,58,GAB,Artisanat,1246900.0,120.0,0.382,,1,,Urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,10.0,60000.0,32300.0,63.7,MTN,47.0,1,0,0,246.59550439483263,0.0259042425214532,,0.0,623450.0,-0.11772029551545476,0
FIN-1045-1333,30,CAF,Agriculture,157600.0,0.0,0.207,778.0,1,82.1,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,22.0,30100.0,25700.0,50.8,MTN,54.0,0,0,0,203.57252580980952,0.1630710659898477,,0.0,78800.0,-0.17426268956668844,0
FIN-1012-1908,25,CMR,Commerce,66200.0,76.0,0.084,680.0,2,77.1,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0.0,22066.666666666668,-0.19274301471982774,0
FIN-1032-1878,75,CAF,Commerce,608400.0,112.0,0.521,,0,48.6,Urbain,2022-01-01,0,55000.0,55000.0,0.0,0.0,1.0,FondasFin TCD 33,microfinance,GAB,en_cours,556.0,705.0,0.0,0.0,0.0,1.0,0.0,0.0,626.0,50.0,235400.0,118600.0,62.3,CAMTEL,53.0,1,1,0,248.5137061009543,0.1949375410913872,0.0015948963317384,0.0,608400.0,-0.047350046477490415,0
FIN-1006-1099,52,CMR,Commerce,182700.0,14.0,0.364,,4,,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,50.0,38500.0,30500.0,59.3,MTN,21.0,1,0,0,183.29881748414812,0.1669403393541324,,0.0,36540.0,-0.1416441476630511,0
FIN-1003-1284,37,CMR,Commerce,204900.0,10.0,0.059,521.0,1,,Peri-urbain,2022-01-01,0,205000.0,205000.0,0.0,0.0,1.0,KamoFin GNQ 42,mobile_money,CMR,rembourse,518.0,438.0,0.0,1.0,0.0,0.0,0.0,1.0,35.0,,,,,,,0,0,0,,,0.0277777777777777,0.0,102450.0,-0.16745570293284356,0
FIN-1017-1478,32,GAB,Agriculture,316800.0,116.0,0.181,739.0,3,46.2,Urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0.0,79200.0,-0.18581588898177587,0
FIN-1015-1894,57,CAF,Artisanat,179900.0,105.0,0.483,682.0,1,6.2,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,31.0,88000.0,52500.0,87.4,ORANGE,73.0,0,0,0,376.1752891460444,0.2918287937743191,,0.0,89950.0,-0.15165299165798407,0
FIN-1008-1875,59,CMR,Service,48700.0,64.0,1.245,591.0,2,50.2,Rural,2022-01-01,0,90000.0,90000.0,0.0,0.0,1.0,KamoFin GNQ 35,banque,CMR,en_cours,528.0,1018.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,20.0,201200.0,114000.0,57.1,MTN,8.0,0,0,0,125.46152336589816,2.3408624229979464,0.0172413793103448,0.2450000000000001,16233.333333333334,-0.05861904551556013,0
FIN-1042-1009,35,CMR,Artisanat,92500.0,0.0,0.397,320.0,2,73.9,Urbain,2022-01-01,0,1045000.0,522500.0,0.0,0.0,2.0,SolidaCredit COG 17,microfinance,CMR,en_cours,676.0,877.0,0.0,1.0,0.0,1.0,0.0,0.5,515.0,58.0,107300.0,84800.0,67.4,ORANGE,55.0,0,0,0,271.3087039555491,0.9167567567567568,0.001937984496124,0.0,30833.33333333333,-0.12447332595263122,0
FIN-1043-1712,71,GAB,Service,565700.0,114.0,0.028,712.0,2,94.1,Urbain,2022-01-01,1,530000.0,530000.0,0.0,0.0,1.0,AfriFin CMR 3,mobile_money,CMR,rembourse,674.0,1143.0,0.0,1.0,0.0,0.0,0.0,1.0,410.0,9.0,64700.0,49700.0,60.4,MIXTE,7.0,0,0,0,125.59826911746208,0.0878557539331801,0.0024330900243309,0.0,188566.66666666663,-0.11128057866632174,0
FIN-1018-1358,28,CMR,Artisanat,30000.0,66.0,0.674,764.0,1,79.8,Urbain,2022-01-01,1,,,,,,,,,,,,,,,,,,,41.0,45500.0,29700.0,59.0,MTN,7.0,0,0,0,122.68705095911032,0.99,,0.0,15000.0,-0.16187280968913104,0
