applicant_id,age,pays,secteur_activite,revenu_mensuel_xaf,anciennete_emploi,ratio_endettement,historique_credit,nb_credits_actifs,mobile_money_score,zone,date_demande,defaut_paiement,total_montant_xaf,avg_credit_xaf,total_retards,max_retard,nb_credit,nom_partenaire,type_partenaire,pays_partenaire,dernier_statut_credit,seuil_score_partenaire,volume_mensuel_partenaire,nb_credits_defaut_hist,nb_credits_rembourses_hist,nb_credits_restructures_hist,nb_credits_en_cours_hist,taux_defaut_historique,taux_remboursement_historique,jours_depuis_dernier_credit,nb_transaction_mois,volume_entrant,volume_sortant,regularite_score,operateur,anciennete_compte_mois
FIN-1027-1732,39,CMR,Commerce,239600.0,37.0,0.149,,0,63.4,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,39.0,175700.0,89300.0,57.5,MTN,14.0
FIN-1040-1590,66,TCD,Commerce,325400.0,1.0,0.267,719.0,1,12.8,Peri-urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,10.0,72500.0,42000.0,52.0,ORANGE,4.0
FIN-1001-1612,37,RCA,Commerce,83700.0,95.0,0.535,,2,,Semi-urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1020-1560,51,GNQ,Agriculture,476600.0,3.0,0.284,387.0,3,45.4,Urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,8.0,128400.0,98800.0,64.6,MTN,24.0
FIN-1020-1491,58,GAB,Artisanat,1246900.0,120.0,0.382,,1,,Urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,10.0,60000.0,32300.0,63.7,MTN,47.0
FIN-1045-1333,30,CAF,Agriculture,157600.0,0.0,0.207,778.0,1,82.1,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,22.0,30100.0,25700.0,50.8,MTN,54.0
FIN-1012-1908,25,CMR,Commerce,66200.0,76.0,0.084,680.0,2,77.1,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1032-1878,75,CAF,Commerce,608400.0,112.0,0.521,,0,48.6,Urbain,2022-01-01,0,55000.0,55000.0,0.0,0.0,1.0,FondasFin TCD 33,microfinance,GAB,en_cours,556.0,705.0,0.0,0.0,0.0,1.0,0.0,0.0,626.0,50.0,235400.0,118600.0,62.3,CAMTEL,53.0
FIN-1006-1099,52,CMR,Commerce,182700.0,14.0,0.364,,4,,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,50.0,38500.0,30500.0,59.3,MTN,21.0
FIN-1003-1284,37,CMR,Commerce,204900.0,10.0,0.059,521.0,1,,Peri-urbain,2022-01-01,0,205000.0,205000.0,0.0,0.0,1.0,KamoFin GNQ 42,mobile_money,CMR,rembourse,518.0,438.0,0.0,1.0,0.0,0.0,0.0,1.0,35.0,,,,,,
