threshold,auc_roc,f1,precision,recall,fp,fn,tp,tn,estimated_total_cost_xaf
0.45,0.6380011148142447,0.260893098782138,0.15601229972487457,0.7960363336085879,5215,247,964,3524,211005653.33333334
0.5,0.6380011148142447,0.2663000785545954,0.17469724297861375,0.5598678777869529,3203,533,678,5536,215962380.0
0.4,0.6380011148142447,0.24236275504452712,0.14033942558746737,0.8876961189099918,6585,136,1075,2154,223057363.33333334
0.55,0.6380011148142447,0.2471976401179941,0.19229004130335017,0.34599504541701076,1760,792,419,6979,231070376.66666666
0.6,0.6380011148142447,0.20955721174923278,0.22336448598130842,0.19735755573905864,831,972,239,7908,243777943.3333333
0.65,0.6380011148142447,0.1595567867036011,0.24242424242424243,0.11890999174236168,450,1067,144,8289,252362743.33333334
0.35,0.6380011148142447,0.21705147785464018,0.1217741935483871,0.9975227085053675,8712,3,1208,27,261231395.23809528
0.1,0.6380011148142447,0.21700564465549682,0.12170854271356783,1.0,8739,0,1211,0,261386061.9047619
0.3,0.6380011148142447,0.21700564465549682,0.12170854271356783,1.0,8739,0,1211,0,261386061.9047619
0.15,0.6380011148142447,0.21700564465549682,0.12170854271356783,1.0,8739,0,1211,0,261386061.9047619
0.2,0.6380011148142447,0.21700564465549682,0.12170854271356783,1.0,8739,0,1211,0,261386061.9047619
0.25,0.6380011148142447,0.21700564465549682,0.12170854271356783,1.0,8739,0,1211,0,261386061.9047619
0.7,0.6380011148142447,0.031914893617021274,0.2,0.017341040462427744,84,1190,21,8655,267955233.3333333
0.8,0.6380011148142447,0.0,0.0,0.0,0,1211,0,8739,270143650.0
0.85,0.6380011148142447,0.0,0.0,0.0,0,1211,0,8739,270143650.0
0.9,0.6380011148142447,0.0,0.0,0.0,0,1211,0,8739,270143650.0
0.75,0.6380011148142447,0.0,0.0,0.0,1,1211,0,8738,270168583.3333333
