subgroup_column,subgroup_value,n_samples,default_rate,tn,fp,fn,tp,fp_rate,fn_rate,error_rate,estimated_total_cost_xaf,estimated_avg_cost_xaf
pays,CMR,4928,0.12053571428571429,2723,1611,264,330,0.3269074675324675,0.05357142857142857,0.3804788961038961,105389176.66666666,21385.790719696968
zone,Urbain,4459,0.12200044853106078,2521,1394,252,292,0.31262614936084326,0.0565149136577708,0.36914106301861405,99469096.66666666,22307.489721163187
secteur_activite,Commerce,3483,0.12575366063738158,1923,1122,202,236,0.32213608957795004,0.05799598047660063,0.3801320700545507,78525236.66666666,22545.287587328927
zone,Peri-urbain,2757,0.11679361624954661,1503,932,142,180,0.3380486035545883,0.05150525933986217,0.3895538628944505,59648666.66666667,21635.35243622295
secteur_activite,Agriculture,2439,0.11767117671176712,1360,792,114,173,0.3247232472324723,0.046740467404674045,0.3714637146371464,50094916.66666667,20539.12122454558
zone,Rural,2351,0.12335176520629519,1300,761,113,177,0.32369204593789874,0.04806465333900468,0.37175669927690347,48711833.33333333,20719.62285552247
secteur_activite,Artisanat,2025,0.12098765432098765,1137,643,109,136,0.31753086419753085,0.05382716049382716,0.37135802469135804,40039983.33333333,19772.831275720164
secteur_activite,Service,1516,0.11939313984168866,844,491,82,99,0.3238786279683377,0.05408970976253298,0.3779683377308707,35312776.666666664,23293.38830255057
pays,COG,1207,0.13670256835128416,668,374,79,86,0.30985915492957744,0.06545153272576636,0.3753106876553438,32341233.333333336,26794.725214029277
pays,GAB,1363,0.10638297872340426,796,422,57,88,0.30961115187087307,0.04181951577402788,0.35143066764490094,25233543.333333336,18513.237955490342
pays,TCD,906,0.1346578366445916,499,285,46,76,0.31456953642384106,0.05077262693156733,0.36534216335540837,20115666.666666668,22202.72259013981
pays,CAF,950,0.1168421052631579,527,312,52,59,0.32842105263157895,0.05473684210526316,0.3831578947368421,19904193.333333336,20951.782456140354
secteur_activite,Elevage,459,0.12418300653594772,255,147,25,32,0.3202614379084967,0.054466230936819175,0.3747276688453159,11748833.333333334,25596.586782861294
pays,GNQ,523,0.13001912045889102,278,177,31,37,0.3384321223709369,0.05927342256214149,0.3977055449330784,11566200.0,22115.1051625239
zone,Semi-urbain,235,0.16595744680851063,130,66,16,23,0.28085106382978725,0.06808510638297872,0.34893617021276596,5272266.666666667,22435.17730496454
zone,Campagne,148,0.10810810810810811,82,50,10,6,0.33783783783783783,0.06756756756756757,0.40540540540540543,2860516.666666667,19327.815315315318
pays,RCA,73,0.0821917808219178,45,22,4,2,0.3013698630136986,0.0547945205479452,0.3561643835616438,1412366.6666666667,19347.488584474886
