applicant_id,age,pays,secteur_activite,revenu_mensuel_xaf,anciennete_emploi,ratio_endettement,historique_credit,nb_credits_actifs,mobile_money_score,zone,date_demande,total_montant_xaf,avg_credit_xaf,total_retards,max_retard,nb_credit,nom_partenaire,type_partenaire,pays_partenaire,dernier_statut_credit,seuil_score_partenaire,volume_mensuel_partenaire,nb_credits_defaut_hist,nb_credits_rembourses_hist,nb_credits_restructures_hist,nb_credits_en_cours_hist,taux_defaut_historique,taux_remboursement_historique,jours_depuis_dernier_credit,nb_transaction_mois,volume_entrant,volume_sortant,regularite_score,operateur,anciennete_compte_mois,flag_primo_demandeur,flag_no_credit_history,flag_anciennete_emploi_missing,score_regularite_pondere,flux_sortant_sur_revenu,anciennete_credit_normalisee,indice_surendettement,revenu_par_credit_actif,defaut_paiement,y_proba,y_pred,error_type,estimated_amount_xaf,estimated_cost_xaf
FIN-1017-1479,27,GAB,Service,176400.0,1.0,0.102,439.0,1,,Urbain,2024-09-01,1270000.0,635000.0,0.0,0.0,2.0,SolidaCredit CAF 1,banque,GAB,en_cours,530.0,1146.0,0.0,0.0,0.0,2.0,0.0,0.0,122.0,,,,,,,0,0,0,,,0.008130081300813,0.0,88200.0,0,0.5588125,1,FP_bon_client_refuse,635000.0,50800.0
FIN-1012-1872,23,CMR,Commerce,352900.0,47.0,0.56,690.0,2,48.4,Urbain,2023-11-08,715000.0,238333.3333333333,13.0,101.0,3.0,EsperoFin TCD 2,mobile_money,GAB,defaut,575.0,1171.0,2.0,0.0,1.0,0.0,0.6666666666666666,0.0,518.0,,,,,,,0,0,0,,,0.001926782273603,0.0,117633.33333333331,0,0.54664034,1,FP_bon_client_refuse,238333.3333333333,19066.666666666664
FIN-1024-1913,47,GAB,Artisanat,147500.0,18.0,0.261,485.0,3,30.5,Peri-urbain,2024-03-01,1695000.0,565000.0,0.0,0.0,3.0,SolidaCredit GNQ 5,cooperative,CMR,rembourse,584.0,240.0,0.0,3.0,0.0,0.0,0.0,1.0,99.0,43.0,97400.0,62300.0,49.2,CAMTEL,8.0,0,0,0,108.103449204942,0.4223728813559322,0.01,0.0,36875.0,0,0.46903643,0,TN_bon_client_accepte,565000.0,0.0
FIN-1044-1498,55,CMR,Commerce,41500.0,28.0,0.362,579.0,2,77.3,Peri-urbain,2025-05-31,465000.0,465000.0,5.0,91.0,1.0,ProximaCredit GAB 7,cooperative,TCD,defaut,691.0,1130.0,1.0,0.0,0.0,0.0,1.0,0.0,601.0,7.0,39600.0,44500.0,13.3,MTN,57.0,0,0,0,54.003892040267374,1.072289156626506,0.0016611295681063,0.0,13833.333333333334,0,0.44600156,0,TN_bon_client_accepte,465000.0,0.0
FIN-1049-1412,29,CMR,Artisanat,112100.0,0.0,0.201,549.0,1,,Rural,2024-05-04,540000.0,270000.0,0.0,0.0,2.0,NovaMoney CAF 29,cooperative,GAB,rembourse,643.0,399.0,0.0,2.0,0.0,0.0,0.0,1.0,1262.0,43.0,38900.0,24300.0,86.3,ORANGE,22.0,0,0,0,270.5931508346856,0.2167707404103479,0.0007917656373713,0.0,56050.0,0,0.46996003,0,TN_bon_client_accepte,270000.0,0.0
FIN-1000-1685,60,CMR,Commerce,36900.0,0.0,0.204,740.0,2,68.4,Urbain,2025-08-19,,,,,,,,,,,,,,,,,,,17.0,103600.0,103300.0,6.8,ORANGE,32.0,0,0,0,23.776251417972063,2.799457994579946,,0.0,12300.0,0,0.47636724,0,TN_bon_client_accepte,311666.6666666667,0.0
FIN-1035-1147,70,COG,Commerce,340500.0,91.0,0.047,461.0,0,,Urbain,2025-11-07,,,,,,,,,,,,,,,,,,,17.0,53000.0,39600.0,26.0,MTN,27.0,0,1,0,86.63731726455529,0.1162995594713656,,0.0,340500.0,0,0.48951992,0,TN_bon_client_accepte,311666.6666666667,0.0
FIN-1022-1801,41,COG,Agriculture,463000.0,34.0,0.261,,2,,Peri-urbain,2025-10-02,1040000.0,520000.0,0.0,0.0,2.0,CreditPop GNQ 43,microfinance,GNQ,rembourse,559.0,782.0,0.0,2.0,0.0,0.0,0.0,1.0,1076.0,23.0,34700.0,26600.0,69.9,MTN,54.0,1,0,0,280.11258964774976,0.0574514038876889,0.000928505106778,0.0,154333.33333333334,0,0.50178117,1,FP_bon_client_refuse,520000.0,41600.0
FIN-1027-1459,35,GAB,Artisanat,,104.0,0.381,447.0,3,38.3,Urbain,2023-09-05,825000.0,275000.0,0.0,0.0,3.0,ZenithMicro GAB 5,mobile_money,CMR,rembourse,565.0,994.0,0.0,2.0,0.0,1.0,0.0,0.6666666666666666,557.0,37.0,54400.0,44200.0,61.0,MTN,20.0,0,0,0,185.7158687011288,,0.0017921146953405,0.0,,0,0.491173,0,TN_bon_client_accepte,275000.0,0.0
FIN-1027-1674,67,CMR,Commerce,899300.0,59.0,0.015,680.0,2,23.8,Rural,2023-08-17,785000.0,785000.0,2.0,47.0,1.0,BarakaCredit GNQ 5,mobile_money,COG,defaut,582.0,1051.0,1.0,0.0,0.0,0.0,1.0,0.0,324.0,8.0,44900.0,44000.0,3.7,ORANGE,38.0,0,0,0,13.555178090679693,0.0489269431780273,0.003076923076923,0.0,299766.6666666667,0,0.35908473,0,TN_bon_client_accepte,785000.0,0.0
