dataset,subgroup_column,subgroup_value,n_samples,anomaly_rate,avg_anomaly_score
train,zone,Campagne,528,0.041666666666666664,-0.1189949444507575
train,pays,COG,4798,0.03480616923718216,-0.11753478437722872
train,pays,CAF,3738,0.03397538790797218,-0.11875902896377742
train,secteur_activite,Artisanat,8078,0.03156721960881406,-0.11849630313709707
train,pays,GNQ,1968,0.031504065040650404,-0.11690031773885531
train,secteur_activite,Elevage,1827,0.03065134099616858,-0.11803866988132872
train,zone,Rural,9418,0.03026120195370567,-0.11817407354224756
train,secteur_activite,Agriculture,9831,0.030108839385616926,-0.11805994559524104
train,zone,Urbain,17988,0.030075605959528573,-0.11820058878024682
train,secteur_activite,Service,6054,0.02973240832507433,-0.11822826734366641
train,pays,TCD,3521,0.029537063334280033,-0.11889505867165705
train,zone,Peri-urbain,10981,0.02941444312904107,-0.11871076587054163
train,secteur_activite,Commerce,13864,0.029212348528563185,-0.11867888525501409
train,pays,CMR,19775,0.02877370417193426,-0.11838224661749884
train,pays,GAB,5701,0.027714436063848446,-0.11874539227324454
train,zone,Semi-urbain,885,0.02598870056497175,-0.11973131762080971
train,pays,RCA,299,0.023411371237458192,-0.12371639323237328
train,secteur_activite,Pastoral,146,0.0136986301369863,-0.11558202022779034
test,pays,RCA,73,0.0410958904109589,-0.11391693404662634
test,zone,Campagne,148,0.033783783783783786,-0.11938923718913971
test,pays,GNQ,523,0.032504780114722756,-0.11946921357910427
test,pays,GAB,1363,0.03154805575935436,-0.11849433199499426
test,secteur_activite,Elevage,459,0.030501089324618737,-0.12040370941162429
test,secteur_activite,Service,1516,0.030343007915567283,-0.11764276201402575
test,secteur_activite,Agriculture,2439,0.02993029930299303,-0.11854663837618677
test,pays,COG,1207,0.029826014913007456,-0.11782201088566562
test,zone,Urbain,4459,0.029603050011213276,-0.1193356533744034
test,pays,TCD,906,0.02759381898454746,-0.11914147136709614
test,zone,Rural,2351,0.027222458528285837,-0.119865687665147
test,secteur_activite,Artisanat,2025,0.027160493827160494,-0.11888163923869331
test,pays,CMR,4928,0.026988636363636364,-0.12012196661883207
test,zone,Peri-urbain,2757,0.02684076895175916,-0.1182013476147804
test,secteur_activite,Commerce,3483,0.02555268446741315,-0.12068068517910996
test,pays,CAF,950,0.023157894736842106,-0.11824288753900904
test,zone,Semi-urbain,235,0.01702127659574468,-0.12458983692993726
