applicant_id,age,pays,secteur_activite,revenu_mensuel_xaf,anciennete_emploi,ratio_endettement,historique_credit,nb_credits_actifs,mobile_money_score,zone,date_demande,defaut_paiement,total_montant_xaf,avg_credit_xaf,total_retards,max_retard,nb_credit,nom_partenaire,type_partenaire,pays_partenaire,dernier_statut_credit,seuil_score_partenaire,volume_mensuel_partenaire,nb_credits_defaut_hist,nb_credits_rembourses_hist,nb_credits_restructures_hist,nb_credits_en_cours_hist,taux_defaut_historique,taux_remboursement_historique,jours_depuis_dernier_credit,nb_transaction_mois,volume_entrant,volume_sortant,regularite_score,operateur,anciennete_compte_mois,flag_primo_demandeur,flag_no_credit_history,flag_anciennete_emploi_missing,score_regularite_pondere,flux_sortant_sur_revenu,anciennete_credit_normalisee,indice_surendettement,revenu_par_credit_actif,anomaly_score,is_anomaly
FIN-1029-1226,44,CMR,Commerce,148000.0,14.0,0.089,,1,34.9,Peri-urbain,2024-02-12,0,2860000.0,476666.6666666667,21.0,82.0,6.0,PretRapide CAF 22,microfinance,CMR,restructure,516.0,418.0,4.0,0.0,2.0,0.0,0.6666666666666666,0.0,31.0,3.0,324100.0,282200.0,22.5,MTN,76.0,1,0,0,97.73562199170787,1.9067567567567567,0.03125,0.0,74000.0,0.11477988593456512,1
FIN-1047-1738,65,GAB,Service,54500.0,81.0,0.506,528.0,1,41.6,Urbain,2024-06-10,1,4330000.0,721666.6666666666,21.0,104.0,6.0,AfriFin GNQ 22,microfinance,CMR,defaut,650.0,205.0,4.0,0.0,2.0,0.0,0.6666666666666666,0.0,9.0,5.0,140500.0,119700.0,21.5,ORANGE,39.0,0,0,0,79.31090826344963,2.1963302752293576,0.1,0.0,27250.0,0.10851671787505368,1
FIN-1027-1008,54,COG,Artisanat,2657400.0,109.0,0.439,,0,42.7,Semi-urbain,2025-01-11,0,1655000.0,551666.6666666666,15.0,114.0,3.0,CreditPop GNQ 38,banque,CMR,defaut,507.0,34.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,70300.0,72600.0,75.0,MIXTE,16.0,1,1,0,212.4910008042162,0.0273199367803115,0.1111111111111111,0.0,2657400.0,0.10670748266405183,1
FIN-1005-1525,59,TCD,Agriculture,219900.0,82.0,2.793,407.0,0,48.7,Urbain,2023-09-14,0,905000.0,181000.0,25.0,115.0,5.0,AfriFin GNQ 38,banque,CMR,defaut,471.0,99.0,4.0,0.0,1.0,0.0,0.8,0.0,764.0,2.0,39400.0,41900.0,38.4,MTN,5.0,0,1,0,68.8035636183573,0.1905411550704865,0.0013071895424836,1.793,219900.0,0.09800159089107241,1
FIN-1041-1836,44,COG,Commerce,40600.0,103.0,0.179,805.0,1,,Urbain,2024-10-23,0,1790000.0,298333.3333333333,21.0,97.0,6.0,AfriFin GAB 42,mobile_money,COG,defaut,681.0,444.0,4.0,0.0,2.0,0.0,0.6666666666666666,0.0,4.0,3.0,28400.0,32600.0,14.1,MIXTE,28.0,0,0,0,47.47887120280929,0.8029556650246306,0.2,0.0,20300.0,0.0917064368055106,1
FIN-1029-1223,58,CAF,Commerce,675200.0,83.0,0.579,,0,,Urbain,2024-04-25,0,1370000.0,342500.0,26.0,118.0,4.0,AfriFin GNQ 38,banque,CMR,restructure,471.0,99.0,3.0,0.0,1.0,0.0,0.75,0.0,286.0,8.0,309500.0,328500.0,60.9,ORANGE,32.0,1,1,0,212.93731049330864,0.4865225118483412,0.0034843205574912,0.0,675200.0,0.09067202822903964,1
FIN-1022-1658,39,GAB,Agriculture,719300.0,0.0,1.836,,2,76.6,Rural,2025-05-05,1,2095000.0,523750.0,16.0,103.0,4.0,EsperoFin GNQ 13,microfinance,CMR,restructure,578.0,585.0,3.0,0.0,1.0,0.0,0.75,0.0,48.0,14.0,104800.0,120300.0,14.3,MTN,13.0,1,0,0,37.7385198134982,0.1672459335465035,0.0204081632653061,0.8360000000000001,239766.66666666663,0.08860235678765149,1
FIN-1047-1123,70,CMR,Commerce,111200.0,0.0,2.669,443.0,3,35.6,Peri-urbain,2023-10-29,1,595000.0,198333.3333333333,15.0,86.0,3.0,PretRapide COG 15,microfinance,CAF,restructure,718.0,308.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0,34.0,9.0,4100.0,3600.0,33.8,MIXTE,41.0,0,0,0,126.33323309797784,0.0323741007194244,0.0285714285714285,1.669,27800.0,0.08848883079492331,1
FIN-1022-1275,40,TCD,Commerce,109100.0,103.0,1.297,807.0,0,66.8,Peri-urbain,2025-05-16,0,2665000.0,888333.3333333334,15.0,96.0,3.0,CapSud GNQ 39,microfinance,CMR,defaut,613.0,213.0,3.0,0.0,0.0,0.0,1.0,0.0,65.0,7.0,217200.0,221600.0,25.0,CAMTEL,74.0,0,1,0,107.93720283840776,2.031164069660861,0.0151515151515151,0.2969999999999999,109100.0,0.0883519294031333,1
FIN-1041-1935,53,COG,Service,1229900.0,30.0,0.297,824.0,1,39.0,Peri-urbain,2025-07-13,0,1235000.0,411666.6666666667,15.0,109.0,3.0,AfriFin GAB 9,banque,CMR,restructure,674.0,1152.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0,42.0,3.0,253000.0,269600.0,37.1,MIXTE,66.0,0,0,0,155.99409617940483,0.2192048133994633,0.0232558139534883,0.0,614950.0,0.08831220298608711,1
