applicant_id,age,pays,secteur_activite,revenu_mensuel_xaf,anciennete_emploi,ratio_endettement,historique_credit,nb_credits_actifs,mobile_money_score,zone,date_demande,total_montant_xaf,avg_credit_xaf,total_retards,max_retard,nb_credit,nom_partenaire,type_partenaire,pays_partenaire,dernier_statut_credit,seuil_score_partenaire,volume_mensuel_partenaire,nb_credits_defaut_hist,nb_credits_rembourses_hist,nb_credits_restructures_hist,nb_credits_en_cours_hist,taux_defaut_historique,taux_remboursement_historique,jours_depuis_dernier_credit,nb_transaction_mois,volume_entrant,volume_sortant,regularite_score,operateur,anciennete_compte_mois,flag_primo_demandeur,flag_no_credit_history,flag_anciennete_emploi_missing,score_regularite_pondere,flux_sortant_sur_revenu,anciennete_credit_normalisee,indice_surendettement,revenu_par_credit_actif,anomaly_score,is_anomaly,defaut_paiement
FIN-1029-1226,44,CMR,Commerce,148000.0,14.0,0.089,,1,34.9,Peri-urbain,2024-02-12,2860000.0,476666.6666666667,21.0,82.0,6.0,PretRapide CAF 22,microfinance,CMR,restructure,516.0,418.0,4.0,0.0,2.0,0.0,0.6666666666666666,0.0,31.0,3.0,324100.0,282200.0,22.5,MTN,76.0,1,0,0,97.73562199170787,1.9067567567567567,0.03125,0.0,74000.0,0.10716253172260326,1,0
FIN-1027-1008,54,COG,Artisanat,2657400.0,109.0,0.439,,0,42.7,Semi-urbain,2025-01-11,1655000.0,551666.6666666666,15.0,114.0,3.0,CreditPop GNQ 38,banque,CMR,defaut,507.0,34.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,70300.0,72600.0,75.0,MIXTE,16.0,1,1,0,212.4910008042162,0.0273199367803115,0.1111111111111111,0.0,2657400.0,0.10204246090641633,1,0
FIN-1047-1738,65,GAB,Service,54500.0,81.0,0.506,528.0,1,41.6,Urbain,2024-06-10,4330000.0,721666.6666666666,21.0,104.0,6.0,AfriFin GNQ 22,microfinance,CMR,defaut,650.0,205.0,4.0,0.0,2.0,0.0,0.6666666666666666,0.0,9.0,5.0,140500.0,119700.0,21.5,ORANGE,39.0,0,0,0,79.31090826344963,2.1963302752293576,0.1,0.0,27250.0,0.09843504008721371,1,1
FIN-1005-1525,59,TCD,Agriculture,219900.0,82.0,2.793,407.0,0,48.7,Urbain,2023-09-14,905000.0,181000.0,25.0,115.0,5.0,AfriFin GNQ 38,banque,CMR,defaut,471.0,99.0,4.0,0.0,1.0,0.0,0.8,0.0,764.0,2.0,39400.0,41900.0,38.4,MTN,5.0,0,1,0,68.8035636183573,0.1905411550704865,0.0013071895424836,1.793,219900.0,0.09225893363748994,1,0
FIN-1029-1223,58,CAF,Commerce,675200.0,83.0,0.579,,0,,Urbain,2024-04-25,1370000.0,342500.0,26.0,118.0,4.0,AfriFin GNQ 38,banque,CMR,restructure,471.0,99.0,3.0,0.0,1.0,0.0,0.75,0.0,286.0,8.0,309500.0,328500.0,60.9,ORANGE,32.0,1,1,0,212.93731049330864,0.4865225118483412,0.0034843205574912,0.0,675200.0,0.08998602111620535,1,0
FIN-1037-1718,27,COG,Commerce,224400.0,28.0,0.396,,0,72.4,Urbain,2023-12-02,2425000.0,606250.0,15.0,75.0,4.0,CapSud CMR 21,cooperative,GNQ,defaut,625.0,168.0,3.0,0.0,1.0,0.0,0.75,0.0,4.0,7.0,24400.0,,1.5,MIXTE,2.0,1,1,0,1.6479184330021643,,0.2,0.0,224400.0,0.0898964789893062,1,0
FIN-1041-1836,44,COG,Commerce,40600.0,103.0,0.179,805.0,1,,Urbain,2024-10-23,1790000.0,298333.3333333333,21.0,97.0,6.0,AfriFin GAB 42,mobile_money,COG,defaut,681.0,444.0,4.0,0.0,2.0,0.0,0.6666666666666666,0.0,4.0,3.0,28400.0,32600.0,14.1,MIXTE,28.0,0,0,0,47.47887120280929,0.8029556650246306,0.2,0.0,20300.0,0.0863038194453245,1,0
FIN-1022-1275,40,TCD,Commerce,109100.0,103.0,1.297,807.0,0,66.8,Peri-urbain,2025-05-16,2665000.0,888333.3333333334,15.0,96.0,3.0,CapSud GNQ 39,microfinance,CMR,defaut,613.0,213.0,3.0,0.0,0.0,0.0,1.0,0.0,65.0,7.0,217200.0,221600.0,25.0,CAMTEL,74.0,0,1,0,107.93720283840776,2.031164069660861,0.0151515151515151,0.2969999999999999,109100.0,0.08569421324045035,1,0
FIN-1022-1658,39,GAB,Agriculture,719300.0,0.0,1.836,,2,76.6,Rural,2025-05-05,2095000.0,523750.0,16.0,103.0,4.0,EsperoFin GNQ 13,microfinance,CMR,restructure,578.0,585.0,3.0,0.0,1.0,0.0,0.75,0.0,48.0,14.0,104800.0,120300.0,14.3,MTN,13.0,1,0,0,37.7385198134982,0.1672459335465035,0.0204081632653061,0.8360000000000001,239766.66666666663,0.08342384697719574,1,1
FIN-1029-1804,52,CMR,Service,102100.0,37.0,0.263,672.0,1,83.2,Urbain,2024-01-15,3030000.0,432857.1428571429,26.0,115.0,7.0,NovaMoney CMR 20,banque,CMR,restructure,697.0,1018.0,4.0,0.0,3.0,0.0,0.5714285714285714,0.0,1.0,,,,,,,0,0,0,,,0.5,0.0,51050.0,0.08113275458939151,1,0
FIN-1044-1581,20,GAB,Agriculture,197100.0,77.0,2.869,442.0,6,29.2,Urbain,2024-06-22,870000.0,217500.0,15.0,117.0,4.0,FondasFin GAB 39,banque,CMR,restructure,659.0,825.0,2.0,0.0,2.0,0.0,0.5,0.0,171.0,,,,,,,0,0,0,,,0.005813953488372,1.869,28157.14285714286,0.08070870210579384,1,0
FIN-1012-1334,34,CMR,Artisanat,105500.0,40.0,1.408,792.0,0,,Peri-urbain,2023-12-24,2875000.0,718750.0,12.0,117.0,4.0,FondasFin CAF 12,microfinance,CMR,defaut,677.0,1181.0,2.0,0.0,2.0,0.0,0.5,0.0,172.0,18.0,74900.0,87100.0,2.5,MTN,44.0,0,1,0,9.516656224425798,0.8255924170616113,0.0057803468208092,0.4079999999999999,105500.0,0.0803487351297607,1,0
FIN-1011-1450,31,CAF,Service,63800.0,0.0,0.526,689.0,0,,Rural,2024-06-10,955000.0,238750.0,20.0,82.0,4.0,NovaMoney CMR 31,mobile_money,GAB,restructure,707.0,630.0,1.0,0.0,3.0,0.0,0.25,0.0,259.0,6.0,326500.0,287600.0,16.6,MTN,43.0,0,1,0,62.817547923043136,4.507836990595611,0.0038461538461538,0.0,63800.0,0.07927747348063674,1,0
FIN-1014-1287,52,CMR,Agriculture,53400.0,24.0,2.908,,0,,Peri-urbain,2023-03-14,1315000.0,438333.3333333333,14.0,81.0,3.0,MicroFin CMR 29,cooperative,TCD,defaut,454.0,653.0,2.0,0.0,1.0,0.0,0.6666666666666666,0.0,368.0,6.0,38200.0,42500.0,18.4,ORANGE,48.0,1,1,0,71.60949348523552,0.795880149812734,0.002710027100271,1.908,53400.0,0.07920042926942439,1,0
FIN-1002-1938,25,CMR,Agriculture,1605500.0,64.0,0.42,564.0,0,,Urbain,2024-09-08,1655000.0,413750.0,17.0,101.0,4.0,EsperoFin CMR 15,mobile_money,CMR,defaut,560.0,174.0,3.0,0.0,1.0,0.0,0.75,0.0,19.0,12.0,15800.0,14900.0,24.1,ORANGE,76.0,0,1,0,104.6857106666738,0.0092805979445655,0.05,0.0,1605500.0,0.07847348160184786,1,0
FIN-1031-1470,47,CMR,Artisanat,65000.0,51.0,2.469,813.0,0,71.9,Urbain,2024-12-15,2090000.0,522500.0,16.0,98.0,4.0,FondasFin COG 34,microfinance,CMR,defaut,584.0,261.0,3.0,0.0,1.0,0.0,0.75,0.0,127.0,7.0,57600.0,66200.0,19.3,MTN,56.0,0,1,0,78.03088946920683,1.0184615384615383,0.0078125,1.469,65000.0,0.07755807149021166,1,0
FIN-1017-1006,72,CAF,Agriculture,970300.0,87.0,,,4,,Urbain,2023-11-30,2260000.0,753333.3333333334,18.0,70.0,3.0,AllianceFin CMR 49,banque,COG,defaut,504.0,931.0,3.0,0.0,0.0,0.0,1.0,0.0,73.0,4.0,23700.0,24500.0,12.7,MTN,15.0,1,0,0,35.211876772445216,0.0252499227043182,0.0135135135135135,0.0,194060.0,0.0774416171971285,1,0
FIN-1027-1927,67,CMR,Commerce,30000.0,14.0,2.762,336.0,2,62.7,Rural,2023-06-18,1435000.0,1435000.0,7.0,31.0,1.0,AfriFin CMR 41,mobile_money,GAB,restructure,692.0,1096.0,0.0,0.0,1.0,0.0,0.0,0.0,137.0,10.0,119100.0,135800.0,55.0,ORANGE,2.0,0,0,0,60.42367587674602,4.526666666666666,0.0072463768115942,1.762,10000.0,0.0770543974230058,1,0
FIN-1047-1842,73,CMR,Artisanat,166500.0,98.0,1.789,609.0,4,65.1,Urbain,2025-06-05,2640000.0,660000.0,17.0,102.0,4.0,EsperoFin TCD 4,microfinance,GAB,defaut,657.0,969.0,3.0,0.0,1.0,0.0,0.75,0.0,808.0,12.0,41900.0,44800.0,4.4,MTN,20.0,0,0,0,13.395898725983065,0.2690690690690691,0.0012360939431396,0.7889999999999999,33300.0,0.07661368142706015,1,0
FIN-1045-1427,74,CMR,Artisanat,206200.0,118.0,0.552,,0,,Urbain,2025-06-11,2430000.0,1215000.0,9.0,79.0,2.0,CapSud CAF 10,microfinance,CMR,defaut,451.0,1086.0,1.0,0.0,1.0,0.0,0.5,0.0,4.0,19.0,67600.0,74500.0,16.8,CAMTEL,46.0,1,1,0,64.68247970872899,0.3612997090203685,0.2,0.0,206200.0,0.07643228992552686,1,0
FIN-1025-1029,18,CMR,Agriculture,843800.0,60.0,0.188,,0,42.4,Urbain,2023-08-09,830000.0,276666.6666666667,15.0,90.0,3.0,KamoFin CAF 48,microfinance,CMR,defaut,454.0,47.0,2.0,0.0,1.0,0.0,0.6666666666666666,0.0,872.0,3.0,9400.0,11000.0,9.1,MTN,9.0,1,1,0,20.953524346245818,0.0130362645176582,0.0011454753722794,0.0,843800.0,0.07579256017923586,1,0
FIN-1047-1123,70,CMR,Commerce,111200.0,0.0,2.669,443.0,3,35.6,Peri-urbain,2023-10-29,595000.0,198333.3333333333,15.0,86.0,3.0,PretRapide COG 15,microfinance,CAF,restructure,718.0,308.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0,34.0,9.0,4100.0,3600.0,33.8,MIXTE,41.0,0,0,0,126.33323309797784,0.0323741007194244,0.0285714285714285,1.669,27800.0,0.0755992491605394,1,1
FIN-1002-1458,54,CMR,Agriculture,99400.0,78.0,0.137,,3,89.1,Rural,2025-11-26,865000.0,216250.0,19.0,105.0,4.0,KamoFin CMR 10,banque,GNQ,defaut,454.0,1004.0,3.0,0.0,1.0,0.0,0.75,0.0,193.0,9.0,145400.0,162600.0,9.9,ORANGE,30.0,1,0,0,33.99647332440295,1.635814889336016,0.0051546391752577,0.0,24850.0,0.07527841024000104,1,0
FIN-1041-1285,67,CMR,Commerce,686900.0,0.0,0.498,,1,43.0,Peri-urbain,2024-09-09,3715000.0,928750.0,19.0,97.0,4.0,CapSud CAF 40,banque,GAB,defaut,567.0,747.0,3.0,0.0,1.0,0.0,0.75,0.0,59.0,4.0,64100.0,71300.0,30.1,MTN,25.0,1,0,0,98.0687057944466,0.1037996797204833,0.0166666666666666,0.0,343450.0,0.07514382999320024,1,0
FIN-1012-1971,28,CMR,Commerce,180200.0,0.0,2.808,768.0,0,35.1,Urbain,2022-09-26,1960000.0,653333.3333333334,7.0,94.0,3.0,MicroFin GAB 23,microfinance,CAF,defaut,441.0,646.0,2.0,0.0,1.0,0.0,0.6666666666666666,0.0,662.0,4.0,35900.0,32700.0,20.9,ORANGE,48.0,0,1,0,81.33904423051209,0.1814650388457269,0.0015082956259426,1.808,180200.0,0.07400532950746397,1,0
FIN-1049-1391,53,GNQ,Service,112800.0,48.0,2.894,710.0,0,84.0,Rural,2023-05-23,885000.0,295000.0,12.0,110.0,3.0,BarakaCredit CAF 10,banque,COG,defaut,635.0,1067.0,3.0,0.0,0.0,0.0,1.0,0.0,16.0,,,,,,,0,1,0,,,0.0588235294117647,1.894,112800.0,0.07373655467369511,1,0
FIN-1047-1839,19,CMR,Agriculture,70200.0,,0.464,714.0,2,,Urbain,2025-06-04,3165000.0,791250.0,12.0,116.0,4.0,SolidaCredit TCD 17,banque,COG,defaut,606.0,1144.0,2.0,0.0,2.0,0.0,0.5,0.0,531.0,6.0,70100.0,69500.0,7.7,MIXTE,2.0,0,0,1,8.459314622744444,0.99002849002849,0.0018796992481203,0.0,23400.0,0.07327812441415238,1,0
FIN-1016-1100,71,COG,Commerce,104300.0,66.0,2.768,,3,70.0,Urbain,2025-01-12,1595000.0,797500.0,9.0,87.0,2.0,ZenithMicro COG 4,mobile_money,COG,restructure,662.0,697.0,1.0,0.0,1.0,0.0,0.5,0.0,1672.0,13.0,19900.0,19100.0,46.8,ORANGE,67.0,1,0,0,197.47296060224176,0.1831255992329817,0.0005977286312014,1.7679999999999998,26075.0,0.07300393299884433,1,0
FIN-1030-1779,35,CMR,Commerce,515500.0,94.0,0.28,338.0,0,19.9,Urbain,2024-04-10,1905000.0,476250.0,19.0,105.0,4.0,SolidaCredit GNQ 5,cooperative,CMR,restructure,584.0,240.0,2.0,0.0,2.0,0.0,0.5,0.0,30.0,5.0,31700.0,35800.0,30.6,ORANGE,84.0,0,1,0,135.9451284486037,0.0694471387002909,0.032258064516129,0.0,515500.0,0.07276258448616713,1,1
FIN-1049-1954,64,CMR,Commerce,257900.0,99.0,2.746,,1,55.1,Rural,2024-08-16,1745000.0,581666.6666666666,10.0,116.0,3.0,SolidaCredit COG 23,banque,CMR,defaut,634.0,858.0,3.0,0.0,0.0,0.0,1.0,0.0,344.0,13.0,133400.0,138600.0,12.1,MIXTE,59.0,1,0,0,49.541569202887416,0.537417603722373,0.0028985507246376,1.746,128950.0,0.07251683233282813,1,1
FIN-1039-1408,24,CMR,Service,166400.0,0.0,1.613,,1,48.2,Peri-urbain,2023-12-22,3515000.0,1171666.6666666667,15.0,97.0,3.0,KamoFin TCD 17,microfinance,COG,restructure,624.0,294.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0,103.0,16.0,133100.0,132900.0,40.1,CAMTEL,16.0,1,0,0,113.61185509665428,0.7986778846153846,0.0096153846153846,0.613,83200.0,0.0708799127909332,1,0
