feature,method,drift_score,drift_detected
applicant_id,categorical_distribution_distance,1.0000000000000002,True
age,psi,0.002037930157665684,False
pays,categorical_distribution_distance,0.00801507537688441,False
secteur_activite,categorical_distribution_distance,0.0027386934673366875,False
revenu_mensuel_xaf,psi,0.0014227673801940747,False
anciennete_emploi,psi,0.0018488303324624335,False
ratio_endettement,psi,0.0004372383355632788,False
historique_credit,psi,0.0014130595608124658,False
nb_credits_actifs,psi,0.00029210494152519527,False
mobile_money_score,psi,0.001566927707629244,False
zone,categorical_distribution_distance,0.0041708542713567815,False
date_demande,categorical_distribution_distance,0.17371859296482411,False
total_montant_xaf,psi,0.0016267859392428599,False
avg_credit_xaf,psi,0.002955446708826495,False
total_retards,psi,0.00020563113032644797,False
max_retard,psi,0.0002535234248318273,False
nb_credit,psi,0.00021458176063360613,False
nom_partenaire,categorical_distribution_distance,0.06492462311557788,False
type_partenaire,categorical_distribution_distance,0.010125628140703502,False
pays_partenaire,categorical_distribution_distance,0.016457286432160795,False
dernier_statut_credit,categorical_distribution_distance,0.010979899497487438,False
seuil_score_partenaire,psi,0.0022615450454978765,False
volume_mensuel_partenaire,psi,0.0013148589237875039,False
nb_credits_defaut_hist,psi,0.0002845864637458399,False
nb_credits_rembourses_hist,psi,0.00020019084780054753,False
nb_credits_restructures_hist,psi,,False
nb_credits_en_cours_hist,psi,5.754827891897882e-05,False
jours_depuis_dernier_credit,psi,0.0009342065361087857,False
nb_transaction_mois,psi,0.002845704413355178,False
volume_entrant,psi,0.0007818542626734648,False
volume_sortant,psi,0.00043798136903401287,False
regularite_score,psi,0.001680991852633892,False
operateur,categorical_distribution_distance,0.013743718592964829,False
anciennete_compte_mois,psi,0.002155822638441328,False
flag_primo_demandeur,psi,,False
flag_no_credit_history,psi,,False
flag_anciennete_emploi_missing,psi,,False
score_regularite_pondere,psi,0.0016387393546258317,False
flux_sortant_sur_revenu,psi,0.0019677800396026442,False
anciennete_credit_normalisee,psi,0.0008508747173693965,False
indice_surendettement,psi,,False
revenu_par_credit_actif,psi,0.0008446424848582429,False
