trial_number,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,auc_roc,f1,precision,recall
0,557,2,0.0689206845323859,2,0.7166610781873316,0.9131578554568566,1.8451256947823773,2.553984110086067,3.7985845562933163,0.6173544815618016,0.2543815723585378,0.16793388429752065,0.5242518059855521
1,489,8,0.010819944465943417,5,0.932204586391856,0.9796727790064342,0.04477016576944548,2.0482960024555346,2.495345268749998,0.590108113350513,0.21774794929157346,0.17046117921774664,0.3013415892672859
2,157,7,0.06779860366451518,1,0.9963630847423544,0.8325834037634137,3.2474936703965755,2.5357437653646056,9.026545877247715,0.5959863772956502,0.23213070115724982,0.17318435754189945,0.35190918472652216
3,405,4,0.08450324091353914,11,0.7373582363201736,0.7777590272982076,3.9563124609231757,3.5283698500696286,1.5623626993815245,0.5900571854215039,0.22563787273286198,0.1606830122591944,0.37874097007223945
4,318,5,0.012358139339653157,20,0.9097255936165326,0.9695367251919336,2.9996901187416425,3.0187861943485617,2.166912207306113,0.6220146084919148,0.2474276142617851,0.16105919003115265,0.5335397316821465
5,198,8,0.0804461642012418,2,0.7873754074636139,0.7490936745518589,3.7948151858015553,0.9701200762706219,0.18356279259854977,0.5632511592746623,0.1640706126687435,0.16509926854754442,0.16305469556243551
6,308,4,0.04300366006629298,2,0.868545062463614,0.634414868841652,1.4891064253983233,3.2929732748041745,1.0456348590752211,0.613814842878482,0.24374495560936238,0.1648471615720524,0.4674922600619195
7,724,4,0.09354827046997759,9,0.7295085420299361,0.9630007497173393,0.33287936235749827,0.7586070004248169,7.1825265911508485,0.5849089622674235,0.2238753099539497,0.1704422869471413,0.32610939112487103
8,478,2,0.09828170482387069,20,0.8086177741686033,0.7639933762096123,4.084721496947133,2.1488713876155927,6.316682885088584,0.6147508834519511,0.24640242363039636,0.16310160427807488,0.5036119711042312
9,466,7,0.037559853308168335,10,0.8292615681466151,0.9253731092259692,0.68038969039459,4.038596360150332,7.330425771191696,0.5941382839413611,0.20161633347511698,0.1714905933429812,0.24458204334365324
10,792,6,0.005090009615888449,30,0.6244316304668421,0.6133630808769086,4.877348875845798,4.919760696973443,4.3653937691261095,0.6227977914697638,0.24701828783461435,0.16619115549215407,0.4809081527347781
11,776,6,0.00528040513378808,30,0.6111207667316667,0.6001331608482254,4.810579205769775,4.907676615052128,4.396256565238706,0.6227769036380107,0.24395429178846664,0.1642806012884753,0.47368421052631576
12,796,6,0.0050288988769352895,29,0.600468856604015,0.6005562052704785,4.9129379834781455,4.747145074553217,4.5716833769404035,0.6218416749590621,0.24699278267842822,0.16666666666666666,0.47678018575851394
13,647,6,0.005527653046885679,29,0.6026806760480906,0.6629331121161951,4.908423778811662,4.9508791660862705,4.744142647088937,0.6229107924252899,0.24777370350969094,0.16602316602316602,0.48813209494324045
14,660,6,0.010004646412002355,25,0.6666304502428103,0.6768732832019135,4.952301424867653,4.237163352887247,5.559965513740034,0.6182728080730068,0.23872979869577546,0.16458170445660672,0.434468524251806
15,638,5,0.017282735359444742,25,0.6629512101645881,0.6888740428570389,4.36267840157829,4.200238324446308,3.2536488548827562,0.6171920288491217,0.24634420697412823,0.16930807885581756,0.4520123839009288
16,635,7,0.19963148319469595,25,0.652415345574072,0.6865383757391361,3.0150831833772527,4.786719872199407,5.449098595482624,0.5699757863530569,0.16313887454827053,0.16322314049586778,0.16305469556243551
17,690,5,0.00741418552155065,21,0.6371912831012672,0.6449406532567921,4.368549689207627,3.9444305977721625,9.901896866284833,0.6216972315430175,0.24122137404580152,0.160081053698075,0.4891640866873065
18,730,6,0.02035142223395149,28,0.6933746612504424,0.7226185710821457,3.5668785421827565,4.915909360155357,7.303271893860387,0.608433532188444,0.22846079380445306,0.16619718309859155,0.3653250773993808
19,591,3,0.0072979698205334585,16,0.6007549757399289,0.8259083000490429,2.6289061671762197,4.425042832961058,3.3782475456748724,0.6308759943309096,0.2595455610213165,0.16787878787878788,0.5717234262125903
20,569,3,0.008293430814428309,14,0.682827491895932,0.8213280895658808,2.281451623823252,0.12661680072823467,3.069459334505859,0.6305223773629638,0.25910364145658266,0.167420814479638,0.5727554179566563
21,565,3,0.007511600887106225,15,0.687933788379117,0.8375245133962506,2.218361477815281,1.3393070633244446,3.230657301777384,0.6304655447465332,0.25945695056857737,0.16736526946107785,0.5768833849329206
22,571,3,0.008579355728114465,15,0.7736605950279605,0.8158702024160347,2.1138038992708896,0.07406358782143671,2.9082846388473618,0.6290946239444818,0.25650557620817843,0.16551724137931034,0.5696594427244582
23,590,3,0.01784118140895948,16,0.6921264989271981,0.8649712083268697,2.3277672466989006,1.22075027364025,3.7071837365357063,0.6210345779971567,0.25121241513094084,0.1641838351822504,0.5345717234262126
24,548,3,0.013388234514804125,15,0.6905817596943262,0.8472621188758738,2.4891838949732596,0.2221411386024374,1.94717886400997,0.6270442212374188,0.253975789223831,0.16491985203452528,0.5521155830753354
25,387,2,0.007299512261076245,13,0.7584527559853286,0.801452262736435,1.317656545971023,1.4285813009423463,0.7347649287808986,0.6305628982803927,0.2637774210807919,0.17804261466233298,0.5087719298245614
26,366,2,0.024479979797935467,12,0.7603731256468999,0.886781995867898,1.3099084491386088,1.7353857814609526,0.246079853321155,0.6302186550037281,0.2614823815309842,0.17101080737444374,0.5552115583075335
27,421,2,0.007792453097164106,7,0.750891440108703,0.7967303935352563,1.0337331044694402,0.7612608537564185,1.0844040680089966,0.6316633105899536,0.263262270699058,0.1732463295269168,0.5479876160990712
28,254,2,0.0067215298854914705,6,0.853668285273413,0.7901414447870394,0.9621291914694343,0.5850166080393733,1.035626783488368,0.6298183171965607,0.2608299133606931,0.16739830260462393,0.5902992776057792
29,424,2,0.013677034437997575,7,0.7478533535331645,0.7325094340280363,1.7579830204283884,0.5386006880499105,1.0406141230827355,0.6324789693486199,0.2627878787878788,0.17173637515842838,0.5593395252837977
30,432,2,0.014511077707945004,7,0.8048460671029829,0.7181999877724603,1.759526625778254,0.4927129447464123,1.761790023009044,0.6334956827139833,0.2644101054697081,0.17342342342342343,0.5562435500515995
31,429,2,0.01455691687259735,7,0.8058958424682265,0.7241292083046877,1.7765819284854394,0.49801296955932783,1.5352499614082895,0.6328622573708582,0.2621430314864535,0.17167519181585678,0.5541795665634675
32,418,2,0.014275559141648884,8,0.8012175922333207,0.723988204566073,1.7980931614583995,0.5211531995914307,1.5723174717857016,0.6332189004911075,0.2645398773006135,0.17353509336767547,0.5562435500515995
33,443,2,0.02566163791160346,8,0.7969745427915587,0.7251165178912343,1.8039050342442862,0.4452928948767046,1.7111376449500646,0.6286071181892567,0.2616504854368932,0.17105680736274198,0.5562435500515995
34,502,2,0.014778056384419532,4,0.8237067684191116,0.7158806479632184,1.7946661286097132,1.035126109650128,2.4119821822601777,0.632632786455946,0.2647697130455751,0.17275015733165514,0.56656346749226
35,520,2,0.032808186699219324,3,0.8869167748135921,0.6972744972275459,1.9328061390340148,1.0232007692443463,2.380286672535833,0.627825116148892,0.25753556788039544,0.16803020767778476,0.5510835913312694
36,345,3,0.015409609714734901,4,0.9551224422600227,0.7123825035411053,1.5564319572527712,1.7467816994344105,2.5320972834379836,0.6286342059428022,0.2590815627141878,0.16637323943661972,0.5851393188854489
37,276,2,0.010758598048442314,5,0.8268868982153851,0.7496995465627314,0.8532005400870516,0.9716370492444408,1.7595397463368145,0.6327591467667629,0.265180265654649,0.1721589159223899,0.5768833849329206
38,294,4,0.010428245900839449,1,0.8409408824626637,0.7460709308980563,0.025573286573523868,0.2903133906813419,1.5066631925106777,0.6265553131189311,0.2522966614384943,0.1611333714939897,0.5810113519091847
39,100,2,0.011482899771379982,10,0.8702392944428249,0.7710445184844017,0.41784848926242857,0.7315503981404622,0.16508514758959447,0.6254433128603059,0.25786713286713286,0.1635708344884946,0.608875128998968
40,260,3,0.023642741791074423,6,0.9105391354370727,0.7515767570570162,0.9445590809736988,1.6399593656485854,1.6630120902479306,0.6284920505931333,0.254911131898971,0.16480193528878137,0.5624355005159959
41,505,2,0.01681528838994291,4,0.8217681367332276,0.7076754236484126,2.740002774875725,1.004393365501647,2.5531032093109114,0.6311981688383369,0.2632716790775883,0.17157169693174704,0.5655314757481941
42,461,2,0.013867851434596064,5,0.7836053970031333,0.6642150490865715,1.5809443197237925,2.1965356304614723,1.9966983976280004,0.6330086936189077,0.26356589147286824,0.17220639442861665,0.5614035087719298
43,460,2,0.020087083034000645,9,0.7848459502095565,0.662556798575301,1.4777267412335595,2.6899491643560776,1.8742644066424075,0.6299510988549482,0.2631578947368421,0.17176173967853767,0.5624355005159959
44,391,2,0.009936131307730854,5,0.8081190415176657,0.6366026528510883,0.7180519105885188,2.195598408195954,1.390617253184878,0.6327663062002613,0.2608695652173913,0.17117988394584138,0.5479876160990712
45,336,3,0.012419721719765409,8,0.7281319651308499,0.6293935979852402,0.5159434292310212,2.228854297671143,0.7030755252013636,0.6311457647374724,0.2593436645396536,0.1664229306814858,0.587203302373581
46,383,4,0.029744911614137712,10,0.8030073099265577,0.6537664735754,1.205610744936011,2.529681355858315,1.2381960181945246,0.6163838985669176,0.2444733420026008,0.16342141863699583,0.4850361197110423
47,440,2,0.01967512765557568,2,0.7731649282105645,0.6283305689284983,1.9747032909806608,3.1348019756188337,2.0997398595687655,0.6311066461833059,0.26446676231468197,0.1721132897603486,0.5706914344685242
48,224,3,0.009388300324193917,6,0.8496485444723859,0.6753071716919109,1.554130285944194,1.97142623188381,0.7198351687487576,0.6307843978672859,0.2633631566873136,0.16932153392330385,0.5923632610939112
49,397,2,0.006204277838687692,11,0.8072001123635547,0.6937344817686301,1.1763713935613294,2.5345097257747407,1.378572798220862,0.6309364435683857,0.264314789687924,0.1793078055964654,0.5025799793601651
50,476,3,0.01187497224964341,5,0.7114322670371408,0.6698676917168715,0.7074680003946896,2.7603590189376703,2.820333127816536,0.6283809686610192,0.2560375146541618,0.16565533980582525,0.5634674922600619
51,290,2,0.009605725803271991,8,0.8192433632581401,0.7371733871867652,0.6190285505049459,2.2652357198894317,2.011243820111189,0.6315740760012984,0.26689604325387073,0.17516129032258065,0.5603715170278638
52,346,2,0.014572446892243478,5,0.7852176097283272,0.7646037573686902,0.27924408172172455,0.38682072491892855,3.8178326591213976,0.6334636497847226,0.26531620553359686,0.17440727508931472,0.5541795665634675
53,357,2,0.014586641836751473,3,0.7850932357521229,0.7641054180350003,0.12762803650563453,0.37367397081649756,8.031828383556789,0.633514134862175,0.26280289782663,0.17336849044166117,0.542827657378741
54,350,2,0.0157070899091905,1,0.7824440483553707,0.7623533270014222,2.0246284242919423,0.3602644892336621,8.0457921230908,0.6333443012902185,0.26450809464508096,0.1743269862114248,0.5479876160990712
55,325,3,0.017378762843177988,1,0.7776862940365856,0.7666695991726405,0.22794768523928566,0.34338884646237605,8.516566566373244,0.6277371363063139,0.2546799168014791,0.16408576533650981,0.5686274509803921
56,366,2,0.02186269841210137,3,0.7394183478077105,0.784443712975727,0.18769730500716997,0.03183329191790135,8.121263725268923,0.6305521960344415,0.2631072631072631,0.17152712449043586,0.564499484004128
57,353,3,0.016006425318987084,3,0.7884775192215608,0.7576429267079156,3.3373459473561966,3.57071992034215,6.196464450938681,0.6284909434642416,0.2551804423748545,0.16476247745039085,0.5655314757481941
58,533,2,0.02878296584196138,1,0.7138967067710538,0.7825575423354141,2.8833847326696613,0.8029075609515619,6.838584040825224,0.62688553276297,0.2598406182081623,0.16960907944514503,0.5552115583075335
59,309,2,0.019153015969494782,2,0.7741208950846972,0.6992140385651489,2.4317127523323063,1.2457345048679205,9.4603769422797,0.6322266177699501,0.2623357302256385,0.17265013054830286,0.5459236326109391
60,190,3,0.03989340297421312,4,0.7610579230057838,0.8047043148880678,2.1142937192602043,0.21148294028283743,7.749071807247964,0.6265664582164391,0.2555790462767207,0.1654501216545012,0.5614035087719298
61,424,2,0.014014731555439848,7,0.7901803454871634,0.7434709372043811,1.6209879342444262,0.5348122628756903,8.986636946692663,0.6328853594603941,0.26344086021505375,0.17259045789305155,0.5562435500515995
62,412,2,0.012763514310494632,9,0.7909626821239168,0.7703389449502758,1.5950234316286704,0.6258625196598528,8.727947752684218,0.6327407684271641,0.2655935613682093,0.17559028932490856,0.544891640866873
63,452,8,0.013833136966559665,6,0.8410234863957924,0.7384330323019205,2.0652998446335276,0.004969324200963854,9.176800125956524,0.6006146189136881,0.2242152466367713,0.1757469244288225,0.30959752321981426
64,367,2,0.05858054813093238,2,0.7635877384472624,0.7597630282270774,1.3358272055032927,0.36784901399349756,4.149808842631112,0.6241024321555105,0.25478324049406637,0.16645569620253164,0.542827657378741
65,475,2,0.02203605207953539,8,0.7295899848397882,0.8090616443659078,0.20495996329649444,0.7746742710895331,9.832733591668969,0.6300313287952859,0.2612225405921681,0.16992854923889406,0.564499484004128
66,411,2,0.01596756151742664,7,0.7957897620916725,0.9981374700277494,1.1045954231573418,0.18597882213688122,5.094402366605227,0.6323991084512461,0.2658506731946144,0.17426187419768935,0.5603715170278638
67,493,3,0.13252112871062843,3,0.8151372861187809,0.6837386071409887,2.5398541755743063,0.4995284033690961,7.893037474483192,0.5924106462104675,0.2299771167048055,0.1590819153146023,0.4148606811145511
68,326,2,0.008849985915700844,11,0.8391920890215084,0.7327991293468658,1.6646986676653501,0.8660579982940282,6.955955980547432,0.6318845887510686,0.2680212868892114,0.1750394944707741,0.5717234262125903
69,376,2,0.011281925587684118,6,0.8682057431925593,0.7822484244768722,2.2903102867980842,1.1455466905587897,8.477180692997868,0.6332138076982067,0.2647342995169082,0.1728161463260801,0.5655314757481941
70,368,3,0.012439138556943214,5,0.9611320066034428,0.8405394926778905,2.311737019321671,1.5494680385444204,6.1162304991903635,0.6298224504777556,0.25962195399681165,0.16656925774400935,0.5882352941176471
71,392,2,0.014403634968739972,7,0.8637280022814223,0.7771260005151605,1.3910070493727995,1.185418333169606,8.515700405426392,0.633845240209327,0.26466239526860524,0.17384266752994496,0.5541795665634675
72,346,2,0.011180646007084233,9,0.8620229021159388,0.7863631244434095,1.4075117333387768,1.1372965656386729,8.407389141196637,0.6324093678456408,0.2646920545369064,0.17138508371385083,0.5810113519091847
73,382,2,0.01824103895762804,5,0.9055764021606426,0.7773061141298948,2.1920609026621536,0.6540663571770426,7.822350967928292,0.6323515757175043,0.2652764306498545,0.1733755942947702,0.564499484004128
74,450,2,0.014142498835373706,6,0.8837513835620372,0.7969062458995876,1.9287219798321453,1.8946578566917156,8.157113804603883,0.6339825241918735,0.26679508788827355,0.17399497487437185,0.5717234262125903
75,401,2,0.015926286523748685,6,0.9049227808150059,0.8212893686512265,1.9832523732233378,1.9365610086664167,7.425590275152241,0.6332177195536233,0.26640926640926643,0.17385826771653543,0.5696594427244582
76,405,2,0.015935216160793637,4,0.8877246494556442,0.8653689513030914,1.9707692635626965,1.9278802885035289,7.433712292339957,0.6329910533652363,0.2644230769230769,0.17235976183014728,0.5675954592363261
77,432,2,0.015024616058310757,8,0.9361198874674542,0.8247091583487032,1.9059972931416795,1.485925418102323,7.568040387594621,0.6335155372254375,0.26590148254423723,0.17304699657640835,0.5737874097007224
78,433,3,0.0217776937163463,12,0.9473617316976659,0.7966076863894607,1.8559518614961341,0.8817014570121975,6.734935910430437,0.6246288350391237,0.2529832935560859,0.16454517230673704,0.5469556243550051
79,296,2,0.018241378496768382,8,0.997947129135287,0.91432933534495,2.6443129508812033,1.3936031238579598,8.061134148496992,0.6338598543106949,0.26101694915254237,0.17051565960139198,0.5562435500515995
80,227,2,0.02544448141334344,9,0.9833885897296637,0.9550355249747389,2.630470525927294,1.455895890338144,8.260165476652688,0.6337585889214188,0.2642978826965198,0.17292993630573247,0.5603715170278638
81,247,2,0.01826649741630331,9,0.9969212316173645,0.9018855195104704,3.1823271678413434,1.4732147208564415,8.877819353277513,0.6333966315824903,0.26420454545454547,0.17142857142857143,0.5758513931888545
82,235,2,0.0274030514032115,9,0.9984194129674642,0.9359818099813169,3.2629310105977978,1.3519299846868407,8.815653514920362,0.6330393241849058,0.2641418983700863,0.17202622541367468,0.5686274509803921
83,163,7,0.017935438104126802,10,0.9846326830400317,0.9372509230844547,3.0916246282905178,1.5065398329479245,8.293209161912143,0.6102321737855793,0.23944026949987043,0.15986159169550174,0.47678018575851394
84,215,2,0.021128045480728667,11,0.9851702338971842,0.9119695345676989,3.876865837195132,1.7880352539575057,7.607495041388043,0.6332251742214928,0.2623738587217684,0.17099906044472282,0.5634674922600619
85,260,2,0.03298127043280306,7,0.9739805309214365,0.9043006256396826,2.7107336767789465,1.6402465470784935,9.035575368026308,0.6320243822257691,0.2626165988997847,0.17092154420921543,0.56656346749226
86,290,2,0.023599270400638566,9,0.9220743560991667,0.9447614520352944,3.6728448461424605,1.3411782252760438,9.602946732976205,0.6335308894127331,0.2618251313903488,0.17034504196456327,0.5655314757481941
87,284,3,0.024920735852318503,12,0.9324022574504564,0.9856711326033446,3.5123917007997987,1.3453739755889351,9.668820961706267,0.6251826947192461,0.2522860492379836,0.16322815533980584,0.5552115583075335
88,269,2,0.03397027942848058,8,0.9280542492585002,0.9537935291693616,4.522979959041964,1.833821451047017,9.488333352060025,0.6313014270596178,0.2624821683309558,0.1705282669138091,0.5696594427244582
89,308,2,0.023099230787901565,10,0.8842567459157935,0.9592660527020921,4.136747187531408,1.6250213149812662,8.154695018317929,0.6323872252678109,0.2634289919058131,0.17277992277992277,0.5541795665634675
90,302,2,0.02541438797830948,7,0.9238267833930351,0.8584212020063384,2.9057956172829704,1.2598933100142458,7.08785365218853,0.6333635653329306,0.26593459059441393,0.17298136645962733,0.5748194014447885
91,233,2,0.019230659458504416,9,0.9685308074451418,0.8892007135632652,3.4419179553493087,1.496705838826623,8.676115985089499,0.6333395775402815,0.26400759734093066,0.17144619179771817,0.5737874097007224
92,204,2,0.01733640772356983,8,0.9423801219808858,0.9703140547463385,3.7176861209254857,1.1133805390728977,9.351358969183096,0.6310659038400988,0.2663797226207556,0.1733582321817616,0.5748194014447885
93,248,2,0.013019592849344024,11,0.9886010486392558,0.9263891552768959,3.6544430789249134,1.4397408092031778,3.5514808022148383,0.6310122449931572,0.2642124883504194,0.17062894974420703,0.5851393188854489
94,190,2,0.01989838170332775,13,0.9782332865712641,0.9441918668618521,3.180184353005502,2.1019100601213836,9.235261765526076,0.6313136054774243,0.26484230055658625,0.170804666467245,0.5892672858617131
95,324,2,0.047835853434534656,6,0.9593976753576186,0.8910318122784413,2.8615824134701833,2.330993447596314,9.985028762889462,0.6256226677407293,0.254249461335887,0.16552369077306733,0.5479876160990712
96,174,3,0.014445081302549612,9,0.9192672890733681,0.9184042553523574,0.4785900080727016,1.6593910358941626,6.599667448227297,0.6310188877665063,0.2601130926489778,0.16478368696610637,0.6171310629514963
97,272,2,0.01850484160074767,10,0.9399505721975927,0.898546719804259,4.041185525989887,1.2650935190494823,8.904436019620771,0.6344821345563121,0.2653011460619361,0.17369093231162197,0.5614035087719298
98,281,2,0.02694019617703363,22,0.9381871099452753,0.8738324781493585,4.124587604794494,0.9216944408813936,8.59390442345357,0.6321147977519084,0.2604517059106199,0.1697463200751644,0.5593395252837977
99,336,2,0.02362067993507203,10,0.8967532530092549,0.9750619218917134,4.674397313872557,1.2149165132104156,5.849454635888312,0.6310784513008691,0.26413255360623783,0.17288676236044656,0.5593395252837977
